timestamp,sat_id,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,maneuver_label
2025-04-15 14:11:32.375956+00:00,SAT_1,-6.957591208470002,-3246.534229057624,6327.121759808784,5.219526354404795,-4.7222037729753685,-2.550159636168913,0
2025-04-15 14:12:02.375956+00:00,SAT_1,149.62819942367386,-3388.200342246885,6250.616970723717,5.217039016919597,-4.6658801805581565,-2.6540664796412936,0
2025-04-15 14:12:32.375956+00:00,SAT_1,306.06474980670583,-3526.4870398911135,6167.877771030307,5.2094638261554,-4.550934193171384,-2.8605047553087997,0
2025-04-15 14:13:02.375956+00:00,SAT_1,462.19602899299787,-3661.256393837168,6078.986685405189,5.196692678465129,-4.431449071080889,-3.06408994282912,0
2025-04-15 14:13:32.375956+00:00,SAT_1,617.8663105146136,-3792.373984155967,5984.032374460559,5.178738311883799,-4.30754398961216,-3.2646189848626515,0
2025-04-15 14:14:02.375956+00:00,SAT_1,772.9203277060258,-3919.709033213898,5883.10954631343,5.155618634226704,-4.179342532590332,-3.461891872291547,0
2025-04-15 14:14:32.375956+00:00,SAT_1,927.2034285682158,-4043.1345361113868,5776.3188621230665,5.127356705227642,-4.0469725690766,-3.6557118437099385,0
2025-04-15 14:15:02.375956+00:00,SAT_1,1080.5617300196843,-4162.527387358494,5663.766835690833,5.093980713539173,-3.910566125830648,-3.84588558167549,0
2025-04-15 14:15:32.375956+00:00,SAT_1,1232.8422713805662,-4277.768503661226,5545.565727222537,5.0555239486169965,-3.7702592556262213,-4.032223405525534,0
2025-04-15 14:16:02.375956+00:00,SAT_1,1383.8931669367041,-4388.742942696067,5421.833431359301,5.012024767516732,-3.6261919015512527,-4.214539460565796,0
2025-04-15 14:16:32.375956+00:00,SAT_1,1533.5637574315701,-4495.340017754301,5292.693359588589,4.963526556636422,-3.478507757427375,-4.392651903443326,0
2025-04-15 14:17:02.375956+00:00,SAT_1,1681.7047603348894,-4597.45340814171,5158.274317152702,4.910077688442758,-3.3273541244889504,-4.566383083518576,0
2025-04-15 14:17:32.375956+00:00,SAT_1,1828.1684187381356,-4694.981265223638,5018.710374577475,4.851731473223738,-3.1728817644635456,-4.735559720055092,0
2025-04-15 14:18:02.375956+00:00,SAT_1,1972.8086487283138,-4787.826314009522,4874.140733949396,4.788546105916605,-3.0152447492010195,-4.900013075050917,0
2025-04-15 14:18:32.375956+00:00,SAT_1,2115.481185093132,-4875.895950175699,4724.70959007442,4.720584608064098,-2.8546003070014043,-5.059579121539552,0
